title,world_revenue,distributor
Fast & Furious Presents: Hobbs & Shaw,"$759,056,935 ",Universal Pictures
Us,"$255,184,580 ",Universal Pictures
Jumanji: The Next Level,"$768,789,153 ",Sony Pictures Releasing
Once Upon a Time... in Hollywood,"$374,251,247 ",Sony Pictures Releasing
Pokémon Detective Pikachu,"$433,005,346 ",Warner Bros.
The Secret Life of Pets 2,"$430,051,293 ",Universal Pictures
How to Train Your Dragon: The Hidden World,"$521,799,505 ",Universal Pictures
It Chapter Two,"$473,093,228 ",Warner Bros.
Joker,"$1,072,417,782 ",Warner Bros.
Aladdin,"$1,050,693,953 ",Walt Disney Studios Motion Pictures
Spider-Man: Far from Home,"$1,131,927,996 ",Sony Pictures Releasing
Star Wars: Episode IX - The Rise of Skywalker,"$1,064,796,091 ",Walt Disney Studios Motion Pictures
Captain Marvel,"$1,128,274,794 ",Walt Disney Studios Motion Pictures
Frozen II,"$1,437,433,181 ",Walt Disney Studios Motion Pictures
Toy Story 4,"$1,073,394,593 ",Walt Disney Studios Motion Pictures
"Everything, Everything","$61,621,140 ",Warner Bros.
The Foreigner,"$145,374,099 ",STX Entertainment
American Assassin,"$67,234,188 ",Lionsgate
Jigsaw,"$102,952,888 ",Lionsgate
King Arthur: Legend of the Sword,"$148,675,066 ",Warner Bros.
The Star,"$62,812,974 ",Sony Pictures Releasing
The Lion King,"$1,656,943,394 ",Walt Disney Studios Motion Pictures
Wind River,"$43,980,821 ",The Weinstein Company
Valerian and the City of a Thousand Planets,"$225,874,228 ",STX Entertainment
Ghost in the Shell,"$169,801,921 ",Paramount Pictures
Moana,"$643,331,111 ",Walt Disney Studios Motion Pictures
The Big Sick,"$56,411,585 ",Lionsgate
47 Meters Down,"$62,187,529 ",Entertainment Studios Motion Pictures
Passengers,"$303,144,152 ",Sony Pictures Releasing
xXx: Return of Xander Cage,"$346,118,277 ",Paramount Pictures
All Eyez on Me,"$55,668,698 ",Lionsgate
Going in Style,"$84,918,541 ",Warner Bros.
Smurfs: The Lost Village,"$197,183,546 ",Sony Pictures Releasing
The Great Wall,"$334,933,831 ",Universal Pictures
Snatched,"$60,845,711 ",Twentieth Century Fox
Lion,"$140,312,928 ",The Weinstein Company
Boo 2! A Madea Halloween,"$48,333,932 ",Lionsgate
The Greatest Showman,"$434,993,183 ",Twentieth Century Fox
The Dark Tower,"$113,231,078 ",Sony Pictures Releasing
American Made,"$134,866,593 ",Universal Pictures
Atomic Blonde,"$100,014,025 ",Focus Features
Avengers: Endgame,"$2,797,800,564 ",Walt Disney Studios Motion Pictures
Ferdinand,"$296,069,199 ",Twentieth Century Fox
Happy Death Day,"$125,479,266 ",Universal Pictures
The Shack,"$96,942,115 ",Lionsgate
Baywatch,"$177,856,751 ",Paramount Pictures
The Lego Ninjago Movie,"$123,081,555 ",Warner Bros.
Pitch Perfect 3,"$185,400,345 ",Universal Pictures
A Bad Moms Christmas,"$130,560,428 ",STX Entertainment
The Hitman's Bodyguard,"$180,650,747 ",Lionsgate
The Mummy,"$409,231,607 ",Universal Pictures
Power Rangers,"$142,337,240 ",Lionsgate
A Dog's Purpose,"$205,035,819 ",Universal Pictures
Captain Underpants: The First Epic Movie,"$125,427,681 ",Twentieth Century Fox
Alien: Covenant,"$240,891,763 ",Twentieth Century Fox
The Emoji Movie,"$217,776,646 ",Sony Pictures Releasing
Daddy's Home 2,"$180,613,180 ",Paramount Pictures
Blade Runner 2049,"$259,239,658 ",Warner Bros.
Annabelle: Creation,"$306,515,884 ",Warner Bros.
Baby Driver,"$226,945,087 ",TriStar Pictures
John Wick: Chapter 2,"$171,539,887 ",Lionsgate
Kingsman: The Golden Circle,"$410,902,662 ",Twentieth Century Fox
Murder on the Orient Express,"$352,789,811 ",Twentieth Century Fox
Fifty Shades Darker,"$381,545,846 ",Universal Pictures
Transformers: The Last Knight,"$605,425,157 ",Paramount Pictures
Split,"$278,454,358 ",Universal Pictures
War for the Planet of the Apes,"$490,719,763 ",Twentieth Century Fox
Cars 3,"$383,930,656 ",Walt Disney Studios Motion Pictures
Hidden Figures,"$235,956,898 ",Twentieth Century Fox
Kong: Skull Island,"$566,652,812 ",Warner Bros.
Jumanji: Welcome to the Jungle,"$962,077,546 ",Sony Pictures Releasing
Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794 ",Walt Disney Studios Motion Pictures
The Boss Baby,"$527,965,936 ",Twentieth Century Fox
Get Out,"$255,407,969 ",Universal Pictures
The Lego Batman Movie,"$311,950,384 ",Warner Bros.
Coco,"$807,082,196 ",Walt Disney Studios Motion Pictures
Dunkirk,"$525,245,546 ",Warner Bros.
Justice League,"$657,924,295 ",Warner Bros.
